WigleWifi-1.4,appRelease=2.26,model=yishay,release=5.0.1,device=ja3g,display=LRX22C.I9500XXUHOI1,board=universal5410,brand=samsung,,,
ec:8c:a2:08:78:c8,Ariel_University,[ESS],09/11/2017 13:10,6,-85,32.10343206,35.20891124,685.6544214,8,WIFI
1c:b9:c4:12:90:bc,Ariel_University,[ESS],09/11/2017 13:11,40,-89,32.10339741,35.20889902,686.0590081,6,WIFI
1c:b9:c4:16:d2:88,Ariel_University,[ESS],09/11/2017 13:11,11,-88,32.10339741,35.20889902,686.0590081,6,WIFI
1c:b9:c4:16:d2:88,Ariel_University,[ESS],09/11/2017 13:11,11,-82,32.10339226,35.20890008,686.2129305,8,WIFI
1c:b9:c4:12:7c:c8,Ariel_University,[ESS],09/11/2017 13:11,11,-70,32.10339162,35.20890093,686.3886578,6,WIFI
1c:b9:c4:96:d2:87,,[WPA2-PSK-CCMP][ESS],09/11/2017 13:11,44,-85,32.10339162,35.20890093,686.3886578,6,WIFI
1c:b9:c4:16:28:e8,Ariel_University,[ESS],09/11/2017 13:11,1,-82,32.10339162,35.20890093,686.3886578,6,WIFI
1c:b9:c4:12:90:b8,Ariel_University,[ESS],09/11/2017 13:11,11,-85,32.10339863,35.20889186,686.7858146,16,WIFI
42501_10072_516799,012 Mobile,HSDPA;il,09/11/2017 13:11,0,-87,32.10339863,35.20889186,686.7858146,16,GSM
ec:8c:a2:88:94:17,,[WPA2-PSK-CCMP][ESS],09/11/2017 13:11,40,-72,32.10339863,35.20889186,686.9320991,8,WIFI
8c:0c:90:ae:16:83,,[WPA2-PSK-CCMP][ESS],09/11/2017 13:11,8,-88,32.10340661,35.20889262,687.0638343,8,WIFI
c4:12:f5:85:12:7d,Si_2.4G,[WPA2-PSK-CCMP][ESS],09/11/2017 13:11,5,-82,32.10341265,35.2088772,687.2650059,24,WIFI
ec:8c:a2:88:78:c7,,[WPA2-PSK-CCMP][ESS],09/11/2017 13:11,40,-80,32.10341265,35.2088772,687.2650059,24,WIFI
ec:8c:a2:08:94:18,Ariel_University,[ESS],09/11/2017 13:11,1,-61,32.10341718,35.20885718,687.292184,16,WIFI
1c:b9:c4:16:28:ec,Ariel_University,[ESS],09/11/2017 13:11,36,-76,32.10341718,35.20885718,687.292184,16,WIFI
30:e1:71:0d:e0:63,DIRECT-61-HP DeskJet 3630 series,[WPA2-PSK-CCMP][ESS],09/11/2017 13:11,6,-88,32.10341718,35.20885718,687.292184,16,WIFI
c4:12:f5:85:12:7c,Si_5G,[WPA2-PSK-CCMP][ESS],09/11/2017 13:12,60,-89,32.10342428,35.20883679,687.269037,8,WIFI
ec:8c:a2:26:d3:68,Ariel_University,[ESS],09/11/2017 13:12,1,-82,32.10342428,35.20883679,687.269037,8,WIFI
ec:8c:a2:26:b0:e8,Ariel_University,[ESS],09/11/2017 13:12,6,-82,32.10342428,35.20883679,687.269037,8,WIFI
1c:b9:c4:96:13:07,,[WPA2-PSK-CCMP][ESS],09/11/2017 13:12,44,-87,32.10342428,35.20883679,687.381676,8,WIFI
ec:8c:a2:88:7a:17,,[WPA2-PSK-CCMP][ESS],09/11/2017 13:12,36,-87,32.10342428,35.20883679,687.381676,8,WIFI
1c:b9:c4:12:90:bc,Ariel_University,[ESS],09/11/2017 13:12,40,-82,32.10342428,35.20883679,687.381676,8,WIFI
ec:8c:a2:08:7a:1c,Ariel_University,[ESS],09/11/2017 13:12,36,-85,32.10342428,35.20883679,687.381676,8,WIFI
1c:b9:c4:16:f4:7c,Ariel_University,[ESS],09/11/2017 13:12,36,-89,32.10342428,35.20883679,687.381676,8,WIFI
42501_10072_516797,012 Mobile,HSDPA;il,09/11/2017 13:12,0,-79,32.10342428,35.20883679,687.381676,8,GSM
c4:12:f5:85:12:7c,Si_5G,[WPA2-PSK-CCMP][ESS],09/11/2017 13:12,60,-83,32.10342428,35.20883679,687.5208596,4,WIFI
ec:8c:a2:08:78:c8,Ariel_University,[ESS],09/11/2017 13:12,6,-76,32.10342428,35.20883679,687.5208596,4,WIFI
00:02:6f:b8:c4:1a,,[ESS],09/11/2017 13:12,11,-88,32.10342428,35.20883679,687.5208596,4,WIFI
a0:4f:d4:3b:e9:01,Lidor a,[WPA2-PSK-CCMP][ESS],09/11/2017 13:12,6,-85,32.10342187,35.20881124,687.5872327,8,WIFI
d4:7b:b0:79:c8:ab,HOTBOX-C8A5,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],09/11/2017 13:12,6,-88,32.10342187,35.20881124,687.5872327,8,WIFI
14:ae:db:cf:1e:e5,BEZEQINT-1EE1,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],09/11/2017 13:12,6,-88,32.10342187,35.20881124,687.5872327,8,WIFI
d0:0f:6d:c0:fe:7f,natali,[WPA2-PSK-CCMP][ESS],09/11/2017 13:12,9,-88,32.10342187,35.20881124,687.5872327,8,WIFI
ec:8c:a2:09:03:3c,Ariel_University,[ESS],09/11/2017 13:12,44,-88,32.10342187,35.20881124,687.5872327,8,WIFI
a0:4f:d4:3b:e9:01,Lidor a,[WPA2-PSK-CCMP][ESS],09/11/2017 13:12,6,-76,32.10340528,35.20873758,687.6676498,8,WIFI
14:ae:db:58:0d:6d,__ery,[WPA2-PSK-CCMP][ESS],09/11/2017 13:12,6,-79,32.10340528,35.20873758,687.6676498,8,WIFI
14:ae:db:cb:05:f5,Mama,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],09/11/2017 13:12,11,-85,32.10340528,35.20873758,687.6676498,8,WIFI
14:ae:db:cf:86:f5,Biren2809,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],09/11/2017 13:12,11,-85,32.10340528,35.20873758,687.6676498,8,WIFI
ec:8c:a2:08:78:38,Ariel_University,[ESS],09/11/2017 13:12,1,-79,32.10340528,35.20873758,687.6676498,8,WIFI
ec:8c:a2:09:0c:c8,Ariel_University,[ESS],09/11/2017 13:12,1,-85,32.10340528,35.20873758,687.6676498,8,WIFI
42501_10072_480148,012 Mobile,HSDPA;il,09/11/2017 13:12,0,-73,32.10340528,35.20873758,687.6676498,8,GSM
1c:b9:c4:16:d2:8c,Ariel_University,[ESS],09/11/2017 13:12,44,-80,32.10340986,35.20865402,687.7048995,12,WIFI
ec:8c:a2:08:7a:1c,Ariel_University,[ESS],09/11/2017 13:12,36,-78,32.10340986,35.20865402,687.7048995,12,WIFI
06:ae:db:55:a6:95,Netanel1610,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],09/11/2017 13:12,5,-88,32.10340986,35.20865402,687.7048995,12,WIFI
e4:6f:13:73:70:16,ShurikWiFi,[WPA2-PSK-CCMP][ESS],09/11/2017 13:12,7,-88,32.10340986,35.20865402,687.7048995,12,WIFI
ec:8c:a2:08:90:c8,Ariel_University,[ESS],09/11/2017 13:12,11,-88,32.10340986,35.20865402,687.7048995,12,WIFI
14:ae:db:46:62:2d,Nadav,[WPA2-PSK-CCMP][ESS],09/11/2017 13:12,6,-85,32.10342488,35.20858911,687.5518524,6,WIFI
c0:ac:54:f5:ff:4b,YanivIsGay,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],09/11/2017 13:12,11,-85,32.10342488,35.20858911,687.5518524,6,WIFI
6c:b0:ce:a9:7b:d0,OR,[WPA2-PSK-CCMP][WPS][ESS],09/11/2017 13:12,11,-88,32.10342488,35.20858911,687.5518524,6,WIFI
14:ae:db:b1:74:c5,Felix,[WPA2-PSK-CCMP][ESS],09/11/2017 13:12,6,-88,32.10342488,35.20858911,687.5518524,6,WIFI
84:16:f9:d7:2d:dc,TP-LINK_2DDC,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],09/11/2017 13:12,5,-88,32.10342488,35.20858911,687.5518524,6,WIFI
ec:8c:a2:08:78:3c,Ariel_University,[ESS],09/11/2017 13:12,40,-87,32.10342488,35.20858911,687.5518524,6,WIFI
ec:8c:a2:09:0c:cc,Ariel_University,[ESS],09/11/2017 13:12,44,-89,32.10342488,35.20858911,687.5518524,6,WIFI
ec:8c:a2:08:7a:1c,Ariel_University,[ESS],09/11/2017 13:12,36,-72,32.1034357,35.20854798,687.7432454,8,WIFI
ec:8c:a2:08:78:3c,Ariel_University,[ESS],09/11/2017 13:12,40,-78,32.1034357,35.20854798,687.7432454,8,WIFI
ec:8c:a2:08:7a:18,Ariel_University,[ESS],09/11/2017 13:12,1,-76,32.1034357,35.20854798,687.7432454,8,WIFI
62:b0:ce:a9:7b:d1,Bezeq Free DA149C,[ESS],09/11/2017 13:12,11,-88,32.1034357,35.20854798,687.7432454,8,WIFI
ec:8c:a2:08:78:38,Ariel_University,[ESS],09/11/2017 13:12,1,-73,32.10343335,35.20848469,687.8637311,6,WIFI
00:12:2a:39:2c:3c,netbox-550b,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],09/11/2017 13:12,1,-82,32.10343335,35.20848469,687.8637311,6,WIFI
c4:04:15:0f:75:b6,super-WIFI_2.4,[WPA2-PSK-CCMP][WPS][ESS],09/11/2017 13:12,1,-82,32.10343335,35.20848469,687.8637311,6,WIFI
14:ae:db:55:a6:95,Netanel,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],09/11/2017 13:12,5,-82,32.10343335,35.20848469,687.8637311,6,WIFI
c4:12:f5:3f:d1:75,natasha,[WPA2-PSK-CCMP][ESS],09/11/2017 13:12,2,-85,32.10343335,35.20848469,687.8637311,6,WIFI
b0:48:7a:a1:80:8c,Knoch,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],09/11/2017 13:12,4,-88,32.10343335,35.20848469,687.8637311,6,WIFI
ec:8c:a2:09:8c:38,Ariel_University,[ESS],09/11/2017 13:12,1,-85,32.10343335,35.20848469,687.8637311,6,WIFI
78:11:dc:1a:cf:d0,TamiRacheli,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],09/11/2017 13:12,8,-88,32.1034321,35.20845929,687.9714629,8,WIFI
1c:b9:c4:16:d2:88,Ariel_University,[ESS],09/11/2017 13:12,11,-74,32.1034328,35.20840227,687.9784571,8,WIFI
6a:37:73:d7:ab:3b,Bezeq Free AA107B,[ESS],09/11/2017 13:12,1,-88,32.1034328,35.20840227,687.9784571,8,WIFI
1c:b9:c4:96:f4:77,,[WPA2-PSK-CCMP][ESS],09/11/2017 13:12,36,-89,32.10344185,35.2083625,687.8270619,6,WIFI
00:1a:dd:f5:cb:a5,Afikim_Wifi,[ESS],09/11/2017 13:12,11,-82,32.10344185,35.2083625,687.8270619,6,WIFI
00:1a:dd:f5:cb:a4,,[ESS],09/11/2017 13:12,11,-82,32.10344185,35.2083625,687.8270619,6,WIFI
ec:8c:a2:08:a9:38,Ariel_University,[ESS],09/11/2017 13:12,6,-88,32.10344185,35.2083625,687.8270619,6,WIFI
78:11:dc:1a:cf:d0,TamiRacheli,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],09/11/2017 13:12,8,-79,32.10345055,35.20829518,687.594154,8,WIFI
00:1a:dd:f5:cb:a5,Afikim_Wifi,[ESS],09/11/2017 13:12,11,-55,32.10345055,35.20829518,687.594154,8,WIFI
14:ae:db:57:60:c5,Nata,[WPA2-PSK-CCMP][ESS],09/11/2017 13:12,1,-82,32.10345055,35.20829518,687.594154,8,WIFI
d8:fe:e3:03:5a:31,Moria,[WPA2-PSK-CCMP][ESS],09/11/2017 13:12,6,-88,32.10345055,35.20829518,687.594154,8,WIFI
14:ae:db:42:c4:6d,bella,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],09/11/2017 13:12,6,-88,32.10345055,35.20829518,687.594154,8,WIFI
ec:8c:a2:09:0c:c8,Ariel_University,[ESS],09/11/2017 13:12,1,-76,32.1034687,35.20822536,687.6962927,8,WIFI
42501_10072_516798,012 Mobile,HSDPA;il,09/11/2017 13:12,0,-85,32.1034687,35.20822536,687.6962927,8,GSM
ec:8c:a2:08:78:3c,Ariel_University,[ESS],09/11/2017 13:12,40,-69,32.10348035,35.20820402,687.7456738,12,WIFI
84:16:f9:d7:2d:dc,TP-LINK_2DDC,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],09/11/2017 13:12,5,-79,32.10348035,35.20820402,687.7456738,12,WIFI
a0:ab:1b:58:2c:06,dina,[WPA2-PSK-CCMP][ESS],09/11/2017 13:12,6,-82,32.10348035,35.20820402,687.7456738,12,WIFI
d0:0f:6d:f1:35:2f,Sveta,[WPA2-PSK-CCMP][ESS],09/11/2017 13:12,4,-82,32.10348035,35.20820402,687.7456738,12,WIFI
f4:f2:6d:2b:3e:92,NAD-4,[WPA2-PSK-CCMP][WPS][ESS],09/11/2017 13:12,5,-85,32.10348035,35.20820402,687.7456738,12,WIFI
00:23:cd:17:19:00,la familya,[WPA2-PSK-CCMP][WPS][ESS],09/11/2017 13:13,9,-88,32.10348629,35.20817456,688.1047528,8,WIFI
00:0e:f4:c1:50:14,vladimir,[WPA2-PSK-CCMP][ESS],09/11/2017 13:13,11,-79,32.10348379,35.20811887,688.1513351,4,WIFI
d4:6e:0e:3c:2c:3a,natali,[WPA2-PSK-CCMP+TKIP][WPS][ESS],09/11/2017 13:13,9,-88,32.10348379,35.20811887,688.1513351,4,WIFI
ec:8c:a2:09:0c:cc,Ariel_University,[ESS],09/11/2017 13:13,44,-76,32.10348379,35.20811887,688.1513351,4,WIFI
ec:8c:a2:08:a9:38,Ariel_University,[ESS],09/11/2017 13:13,6,-82,32.10348379,35.20811887,688.1513351,4,WIFI
ec:8c:a2:08:78:38,Ariel_University,[ESS],09/11/2017 13:13,1,-61,32.10348763,35.20809559,687.9791928,6,WIFI
ec:8c:a2:88:7a:17,,[WPA2-PSK-CCMP][ESS],09/11/2017 13:13,36,-70,32.10348763,35.20809559,687.9791928,6,WIFI
ec:8c:a2:26:ae:28,Ariel_University,[ESS],09/11/2017 13:13,6,-89,32.10348763,35.20809559,687.9791928,6,WIFI
10:be:f5:39:8f:f2,LARISA,[WPA2-PSK-CCMP][ESS],09/11/2017 13:13,9,-85,32.10349049,35.20804231,687.431388,6,WIFI
ec:8c:a2:09:03:38,Ariel_University,[ESS],09/11/2017 13:13,1,-70,32.10349049,35.20804231,687.431388,6,WIFI
00:1a:dd:f5:c1:65,Afikim_Wifi,[ESS],09/11/2017 13:13,9,-85,32.10349049,35.20804231,687.431388,6,WIFI
ec:8c:a2:88:78:37,,[WPA2-PSK-CCMP][ESS],09/11/2017 13:13,40,-75,32.1034905,35.20804224,687.3021136,8,WIFI
7c:03:4c:bb:19:6f,Hot,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],09/11/2017 13:13,13,-88,32.1034905,35.20804224,687.3021136,8,WIFI
10:be:f5:a7:b4:f4,Home,[WPA2-PSK-CCMP][ESS],09/11/2017 13:13,9,-88,32.1034905,35.20804224,687.3021136,8,WIFI
ec:08:6b:39:95:c8,Salon,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],09/11/2017 13:13,9,-88,32.1034905,35.20804224,687.3021136,8,WIFI
00:27:22:f3:bb:3a,,[ESS],09/11/2017 13:13,6,-79,32.1034905,35.20804224,687.3021136,8,WIFI
ec:8c:a2:09:8c:3c,Ariel_University,[ESS],09/11/2017 13:13,44,-86,32.1034905,35.20804224,687.3021136,8,WIFI
ec:8c:a2:08:7b:88,Ariel_University,[ESS],09/11/2017 13:13,1,-82,32.1034905,35.20804224,687.3021136,8,WIFI
1c:b9:c4:16:11:ac,Ariel_University,[ESS],09/11/2017 13:13,44,-88,32.1034905,35.20804224,687.3021136,8,WIFI
5a:b0:ce:39:89:e4,Bezeq Free RA36CA,[ESS],09/11/2017 13:13,11,-88,32.1034905,35.20804224,687.3021136,8,WIFI
00:1a:dd:f5:c1:64,,[ESS],09/11/2017 13:13,9,-88,32.1034905,35.20804224,687.3021136,8,WIFI
ec:8c:a2:08:7a:18,Ariel_University,[ESS],09/11/2017 13:13,1,-65,32.10348909,35.20802635,687.1826816,12,WIFI
00:1a:dd:f5:c1:65,Afikim_Wifi,[ESS],09/11/2017 13:13,9,-79,32.10348909,35.20802635,687.1826816,12,WIFI
00:1a:dd:f5:c1:64,,[ESS],09/11/2017 13:13,9,-70,32.10348909,35.20802635,687.1826816,12,WIFI
ec:8c:a2:89:0c:c7,,[WPA2-PSK-CCMP][ESS],09/11/2017 13:13,44,-75,32.10348909,35.20802635,687.1826816,12,WIFI
ec:8c:a2:88:a9:37,,[WPA2-PSK-CCMP][ESS],09/11/2017 13:13,36,-87,32.10348909,35.20802635,687.1826816,12,WIFI
ec:8c:a2:09:03:3c,Ariel_University,[ESS],09/11/2017 13:13,44,-74,32.10348909,35.20802635,687.1826816,12,WIFI
ec:8c:a2:08:a9:3c,Ariel_University,[ESS],09/11/2017 13:13,36,-87,32.10348909,35.20802635,687.1826816,12,WIFI
00:25:86:cc:00:f8,AUC_54_R,[ESS],09/11/2017 13:13,5,-88,32.10348909,35.20802635,687.1826816,12,WIFI
ec:8c:a2:08:7a:1c,Ariel_University,[ESS],09/11/2017 13:13,36,-65,32.10349188,35.20799353,687.0493025,6,WIFI
00:1a:dd:f5:c1:65,Afikim_Wifi,[ESS],09/11/2017 13:13,9,-67,32.10349188,35.20799353,687.0493025,6,WIFI
ec:8c:a2:09:0c:cc,Ariel_University,[ESS],09/11/2017 13:13,44,-66,32.10349198,35.20796643,686.9107159,6,WIFI
d8:fe:e3:03:5a:31,Moria,[WPA2-PSK-CCMP][ESS],09/11/2017 13:13,6,-82,32.10349198,35.20796643,686.9107159,6,WIFI
ec:8c:a2:89:0c:c7,,[WPA2-PSK-CCMP][ESS],09/11/2017 13:13,44,-66,32.10349198,35.20796643,686.9107159,6,WIFI
a0:ab:1b:59:55:54,ear,[WPA2-PSK-TKIP][ESS],09/11/2017 13:13,1,-88,32.10348635,35.20795733,686.8436646,6,WIFI
00:1a:dd:f5:c1:65,Afikim_Wifi,[ESS],09/11/2017 13:13,9,-61,32.10348283,35.20793628,686.7786055,4,WIFI
00:1a:dd:f5:c1:64,,[ESS],09/11/2017 13:13,9,-61,32.10348283,35.20793628,686.7786055,4,WIFI
ec:8c:a2:89:03:37,,[WPA2-PSK-CCMP][ESS],09/11/2017 13:13,44,-85,32.10348283,35.20793628,686.7786055,4,WIFI
ec:8c:a2:26:b0:58,Ariel_University,[ESS],09/11/2017 13:13,11,-88,32.10348283,35.20793628,686.7786055,4,WIFI
cc:d2:9b:9f:15:97,Mirror Link 1597,[ESS],09/11/2017 13:13,6,-88,32.10348283,35.20793628,686.7786055,4,WIFI
1c:b9:c4:12:90:b8,Ariel_University,[ESS],09/11/2017 13:13,11,-82,32.10349277,35.20785305,686.519269,6,WIFI
ec:8c:a2:08:94:1c,Ariel_University,[ESS],09/11/2017 13:13,40,-87,32.10349277,35.20785305,686.519269,6,WIFI
cc:d2:9b:9f:15:97,Mirror Link 1597,[ESS],09/11/2017 13:13,6,-73,32.10349277,35.20785305,686.519269,6,WIFI
ec:8c:a2:88:90:c7,,[WPA2-PSK-CCMP][ESS],09/11/2017 13:13,36,-88,32.10349277,35.20785305,686.519269,6,WIFI
ec:8c:a2:26:ae:28,Ariel_University,[ESS],09/11/2017 13:13,6,-67,32.10349277,35.20785305,686.519269,6,WIFI
ec:8c:a2:08:90:cc,Ariel_University,[ESS],09/11/2017 13:13,36,-88,32.10349277,35.20785305,686.519269,6,WIFI
42501_10072_470805,012 Mobile,HSDPA;il,09/11/2017 13:13,0,-97,32.10349277,35.20785305,686.519269,6,GSM
ec:8c:a2:09:03:38,Ariel_University,[ESS],09/11/2017 13:13,1,-61,32.10349385,35.20783407,686.3120846,6,WIFI
1c:b9:c4:12:90:bc,Ariel_University,[ESS],09/11/2017 13:13,40,-86,32.10349385,35.20783407,686.3120846,6,WIFI
cc:d2:9b:9f:15:97,Mirror Link 1597,[ESS],09/11/2017 13:13,6,-64,32.10349385,35.20783407,686.3120846,6,WIFI
ec:8c:a2:08:90:cc,Ariel_University,[ESS],09/11/2017 13:13,36,-80,32.10349385,35.20783407,686.3120846,6,WIFI
ec:8c:a2:08:7b:8c,Ariel_University,[ESS],09/11/2017 13:13,52,-68,32.10349385,35.20783407,686.3120846,6,WIFI
ec:8c:a2:09:8c:3c,Ariel_University,[ESS],09/11/2017 13:13,44,-76,32.10349385,35.20783407,686.3120846,6,WIFI
ec:8c:a2:09:8c:38,Ariel_University,[ESS],09/11/2017 13:13,1,-76,32.10349385,35.20783407,686.3120846,6,WIFI
ec:8c:a2:08:90:c8,Ariel_University,[ESS],09/11/2017 13:13,11,-79,32.10349385,35.20783407,686.3120846,6,WIFI
ec:8c:a2:08:a9:28,Ariel_University,[ESS],09/11/2017 13:13,11,-64,32.10350793,35.20779996,685.5715431,6,WIFI
ec:8c:a2:08:a9:2c,Ariel_University,[ESS],09/11/2017 13:13,44,-70,32.10350793,35.20779996,685.5715431,6,WIFI
ec:8c:a2:08:7b:88,Ariel_University,[ESS],09/11/2017 13:13,1,-73,32.10350793,35.20779996,685.5715431,6,WIFI
00:25:86:cc:00:f8,AUC_54_R,[ESS],09/11/2017 13:13,5,-79,32.10350793,35.20779996,685.5715431,6,WIFI
1c:b9:c4:16:f4:7c,Ariel_University,[ESS],09/11/2017 13:13,36,-91,32.10350793,35.20779996,685.5715431,6,WIFI
ec:8c:a2:88:a9:27,,[WPA2-PSK-CCMP][ESS],09/11/2017 13:13,44,-76,32.10351248,35.20777266,685.1744567,4,WIFI
ec:8c:a2:0a:08:b8,Ariel_University,[ESS],09/11/2017 13:13,6,-88,32.10351248,35.20777266,685.1744567,4,WIFI
ec:8c:a2:08:ab:e8,Ariel_University,[ESS],09/11/2017 13:13,6,-88,32.10351248,35.20777266,685.1744567,4,WIFI
42501_10072_470805,012 Mobile,HSDPA;il,09/11/2017 13:13,0,-83,32.10351248,35.20777266,685.1744567,4,GSM
ec:8c:a2:88:7b:87,,[WPA2-PSK-CCMP][ESS],09/11/2017 13:13,52,-73,32.10351685,35.20775267,684.7769685,8,WIFI
1c:b9:c4:96:d2:87,,[WPA2-PSK-CCMP][ESS],09/11/2017 13:13,44,-85,32.10351685,35.20775267,684.7769685,8,WIFI
1c:b9:c4:14:33:cc,Ariel_University,[ESS],09/11/2017 13:13,36,-90,32.10352317,35.20774272,684.344003,6,WIFI
00:27:22:f3:bb:3a,,[ESS],09/11/2017 13:13,6,-73,32.1035169,35.20774217,683.9845939,6,WIFI
ec:8c:a2:89:8c:37,,[WPA2-PSK-CCMP][ESS],09/11/2017 13:13,44,-78,32.1035169,35.20774217,683.9845939,6,WIFI
00:0b:6c:4d:cf:34,UFI_UF230_F34,[WPA-PSK-CCMP][ESS],09/11/2017 13:13,6,-88,32.1035169,35.20774217,683.9845939,6,WIFI
ec:8c:a2:26:b0:58,Ariel_University,[ESS],09/11/2017 13:13,11,-82,32.1035169,35.20774217,683.9845939,6,WIFI
ec:8c:a2:08:94:18,Ariel_University,[ESS],09/11/2017 13:13,1,-88,32.1035169,35.20774217,683.9845939,6,WIFI
ec:8c:a2:09:8c:38,Ariel_University,[ESS],09/11/2017 13:13,1,-67,32.10351428,35.20774756,683.8429452,8,WIFI
ec:8c:a2:0a:08:b8,Ariel_University,[ESS],09/11/2017 13:13,6,-82,32.10351428,35.20774756,683.8429452,8,WIFI
00:0b:6c:4d:cf:34,UFI_UF230_F34,[WPA-PSK-CCMP][ESS],09/11/2017 13:13,6,-82,32.10351428,35.20774756,683.8429452,8,WIFI
ec:8c:a2:88:90:c7,,[WPA2-PSK-CCMP][ESS],09/11/2017 13:13,36,-82,32.10351428,35.20774756,683.8429452,8,WIFI
ec:8c:a2:09:86:d8,Ariel_University,[ESS],09/11/2017 13:13,6,-88,32.10351428,35.20774756,683.8429452,8,WIFI
ec:8c:a2:08:94:1c,Ariel_University,[ESS],09/11/2017 13:13,40,-82,32.10350999,35.20774873,683.4675061,6,WIFI
00:0b:6c:4d:cf:34,UFI_UF230_F34,[WPA-PSK-CCMP][ESS],09/11/2017 13:13,6,-73,32.10350999,35.20774873,683.4675061,6,WIFI
ec:8c:a2:88:94:17,,[WPA2-PSK-CCMP][ESS],09/11/2017 13:13,40,-89,32.10350999,35.20774873,683.4675061,6,WIFI
ec:8c:a2:08:7a:1c,Ariel_University,[ESS],09/11/2017 13:13,36,-60,32.10350702,35.20769773,682.9689428,6,WIFI
ec:8c:a2:26:b0:58,Ariel_University,[ESS],09/11/2017 13:13,11,-73,32.10350702,35.20769773,682.9689428,6,WIFI
1c:b9:c4:16:d2:8c,Ariel_University,[ESS],09/11/2017 13:13,44,-84,32.10349488,35.2076457,682.7480684,6,WIFI
ec:8c:a2:26:ae:28,Ariel_University,[ESS],09/11/2017 13:13,6,-61,32.10349488,35.2076457,682.7480684,6,WIFI
